Assembly	K|Best match locus	K|Match confidence	K|Coverage	K|Identity	OC|Best match locus	OC|Match confidence	OC|Coverage	OC|Identity
GCF_001664665.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674245.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001668445.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674835.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.45%
GCF_001668935.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000811015.3	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_002137715.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.90%	98.31%
GCF_002144975.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.90%	98.31%
GCF_002183285.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.90%	98.31%
GCF_001666715.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001668535.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_010604785.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_002138315.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_002950455.1	KL22	Good	99.66%	99.99%	OCL3	Good	100.00%	98.44%
GCF_000588955.1	KL22	Very high	100.00%	99.97%	OCL3	None	88.92%	98.21%
GCF_000600695.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000627495.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000671495.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000627595.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000627615.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000587895.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000589275.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000584475.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000581495.1	KL22	Very high	100.00%	99.99%	OCL3	Good	88.92%	98.21%
GCF_001669265.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000453805.1	KL22	Very high	100.00%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_000581815.1	KL22	Good	100.00%	99.99%	OCL3	None	88.83%	98.24%
GCF_000222225.1	KL22	None	100.00%	99.95%	OCL3	High	100.00%	98.40%
GCF_002950925.1	KL22	None	91.49%	99.99%	OCL3	Good	99.80%	98.42%
GCF_000333715.1	KL22	None	100.00%	99.97%	OCL3	Good	98.51%	98.41%
GCF_001664885.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674755.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001666405.1	KL22	Good	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_010604855.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001664585.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001668515.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001665285.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674435.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001673805.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674345.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001664735.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669495.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674785.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001666085.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_000453905.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.83%	98.23%
GCF_000580935.1	KL22	Very high	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000671435.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.83%	98.24%
GCF_002017115.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669605.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.99%	98.31%
GCF_001669105.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.99%	98.31%
GCF_001673815.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001666425.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000589075.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000589515.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000589495.1	KL22	Very high	100.00%	99.97%	OCL3	None	88.92%	98.21%
GCF_000589635.1	KL22	High	100.00%	99.97%	OCL3	None	88.92%	98.24%
GCF_000589535.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000580175.1	KL22	Very high	100.00%	99.98%	OCL3	None	89.09%	98.23%
GCF_000589435.1	KL22	High	100.00%	99.95%	OCL3	None	88.92%	98.23%
GCF_000583555.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000583535.1	KL22	High	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000453785.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.83%	98.23%
GCF_001668475.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001664755.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674585.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001674215.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_002016735.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001668645.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.90%	98.31%
GCF_001674575.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669415.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000589715.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000600655.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000627575.1	KL22	Good	100.00%	99.99%	OCL3	None	88.83%	98.21%
GCF_000589195.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000589615.1	KL22	High	100.00%	99.97%	OCL3	None	88.92%	98.24%
GCF_000589035.1	KL22	Very high	100.00%	99.97%	OCL3	None	88.92%	98.21%
GCF_000671575.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000584055.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000584655.1	KL22	High	100.00%	99.97%	OCL3	None	88.83%	98.24%
GCF_000584555.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000584135.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000589315.1	KL22	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000682175.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000591675.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000627415.1	KL22	High	100.00%	99.97%	OCL3	None	88.92%	98.24%
GCF_000627515.1	KL22	Good	100.00%	99.98%	OCL3	None	88.92%	98.21%
GCF_000671515.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000682655.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000681675.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000682555.1	KL22	High	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000588375.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000682455.1	KL22	High	100.00%	99.97%	OCL3	None	88.92%	98.24%
GCF_000589055.1	KL22	Good	100.00%	99.99%	OCL3	None	88.92%	98.21%
GCF_000581655.1	KL22	High	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_000353915.1	KL22	None	100.00%	99.96%	OCL3	High	100.00%	98.41%
GCF_016506725.1	KL22	Good	100.00%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_016506685.1	KL22	Good	100.00%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_016507035.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674045.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.99%	98.31%
GCF_000297955.1	KL22	High	100.00%	99.74%	OCL3	Very high	100.00%	98.44%
GCF_001668865.1	KL22	Good	98.94%	100.00%	OCL3	Good	100.00%	98.44%
GCF_016506335.1	KL22	Very high	100.00%	99.98%	OCL3	Good	99.99%	98.44%
GCF_001674155.1	KL22	Good	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001674765.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674075.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001668955.1	KL22	Good	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_002183165.1	KL22	None	100.00%	99.99%	OCL3	Good	100.00%	98.43%
GCF_010605285.1	KL22	Good	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001674165.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_904885685.1	KL81	Very high	100.00%	98.08%	OCL3	Good	100.00%	98.44%
GCF_904887655.1	KL81	Very high	100.00%	98.08%	OCL3	Good	100.00%	98.44%
GCF_904885705.1	KL81	Very high	100.00%	98.08%	OCL3	Good	100.00%	98.44%
GCF_904885855.1	KL81	Very high	100.00%	98.08%	OCL3	Good	100.00%	98.44%
GCF_000588975.1	KL22	Very high	100.00%	99.94%	OCL3	None	88.92%	98.19%
GCF_000589455.1	KL22	High	100.00%	99.97%	OCL3	None	88.92%	98.24%
GCF_000627355.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000583575.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_001673955.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.99%	98.31%
GCF_001674015.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674315.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001673795.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674085.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000589595.1	KL22	High	100.00%	99.97%	OCL3	None	88.92%	98.24%
GCF_000627675.1	KL22	Very high	100.00%	99.97%	OCL3	None	88.92%	98.21%
GCF_000627395.1	KL22	High	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000671535.1	KL22	Good	100.00%	99.97%	OCL3	None	88.92%	98.21%
GCF_000583455.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.92%	98.24%
GCF_000583515.1	KL22	Good	100.00%	99.98%	OCL3	None	88.53%	98.24%
GCF_000583595.1	KL22	Good	100.00%	99.99%	OCL3	None	88.79%	98.24%
GCF_010608825.1	KL22	Good	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669595.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669695.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674325.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669575.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000939485.2	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001673875.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669115.1	KL22	Very high	100.00%	100.00%	OCL3	Low	92.99%	98.31%
GCF_016506665.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_016507015.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_002950895.1	KL22	Good	97.88%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_001674425.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669225.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001669645.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001674485.1	KL22	Very high	100.00%	99.99%	OCL3	Good	100.00%	98.44%
GCF_001666275.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001674845.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_010609075.1	KL22	Good	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_016888585.1	KL22	Very high	100.00%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_001674475.2	KL22	High	100.00%	99.99%	OCL3	High	100.00%	98.44%
GCF_001674505.2	KL22	Very high	100.00%	99.99%	OCL3	High	100.00%	98.44%
GCF_000516295.1	KL22	Very high	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_008033255.2	KL22	High	100.00%	99.99%	OCL3	Good	88.83%	98.23%
GCF_001668465.2	KL22	Very high	100.00%	100.00%	OCL3	Good	92.90%	98.31%
GCF_000583495.1	KL22	Good	99.96%	99.99%	OCL3	None	88.92%	98.24%
GCF_001415695.1	KL22	Good	97.25%	99.99%	OCL3	Very high	100.00%	98.43%
GCF_001674865.1	KL22	Good	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_000588735.1	KL22	High	100.00%	99.97%	OCL3	None	88.83%	98.24%
GCF_000588815.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000588695.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000584035.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000584675.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000627735.1	KL22	High	100.00%	99.95%	OCL3	None	89.00%	98.24%
GCF_000588455.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_013346545.1	KL22	None	92.39%	99.96%	OCL3	None	86.89%	98.17%
GCF_000582335.1	KL22	Very high	100.00%	100.00%	OCL3	None	88.57%	98.24%
GCF_000588155.1	KL22	High	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000583255.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000584775.1	KL22	Very high	100.00%	99.97%	OCL3	None	88.83%	98.24%
GCF_000580735.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000682595.1	KL22	Very high	100.00%	99.93%	OCL3	None	88.83%	98.24%
GCF_000588635.1	KL22	Very high	100.00%	99.99%	OCL3	None	85.96%	98.15%
GCF_000588495.1	KL22	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_006492625.1	KL22	Good	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000588435.1	KL22	Very high	100.00%	99.98%	OCL3	None	88.83%	98.24%
GCF_000681595.1	KL32	Good	100.00%	99.34%	OCL7	Very high	100.00%	99.22%
GCF_002154155.1	KL22	Very high	100.00%	100.00%	OCL7	Very high	100.00%	98.40%
GCF_000222285.1	KL22	None	89.48%	99.99%	OCL3	Good	100.00%	98.40%
GCF_006493655.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001432445.1	KL22	High	100.00%	99.99%	OCL7	Very high	100.00%	98.40%
GCF_002143235.1	KL22	Very high	100.00%	99.98%	OCL7	Very high	100.00%	98.40%
GCF_000591875.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.23%
GCF_000592695.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592735.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600495.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600915.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600515.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600595.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000588215.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600535.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591835.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000600375.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000600575.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000682395.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.66%	98.29%
GCF_000591715.1	KL13	Good	99.87%	99.99%	OCL3	None	88.92%	98.24%
GCF_000591955.1	KL13	Good	99.53%	99.99%	OCL3	None	88.92%	98.23%
GCF_000592435.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600555.1	KL13	Good	99.95%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592715.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000581935.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592495.1	KL13	Good	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600435.1	KL13	Good	99.71%	99.99%	OCL3	None	88.92%	98.21%
GCF_000592455.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592655.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592475.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.25%
GCF_000581235.1	KL13	Good	99.84%	100.00%	OCL3	None	88.06%	98.22%
GCF_000583355.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591735.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591815.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000591855.1	KL13	Good	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600475.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600935.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000584075.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592675.1	KL13	High	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592215.1	KL13	Good	99.93%	99.99%	OCL3	None	88.83%	98.23%
GCF_000592375.1	KL13	Good	99.94%	100.00%	OCL3	None	88.83%	98.21%
GCF_000591615.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592015.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592275.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000627715.1	KL13	Very high	100.00%	99.98%	OCL3	None	88.92%	98.23%
GCF_000592335.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592315.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592415.1	KL13	High	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000600415.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000611325.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000627375.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000584395.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592575.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592615.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591995.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592175.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592755.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000591695.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592115.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000581615.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000580835.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592535.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000681995.1	KL13	None	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000681855.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000627695.1	KL13	Very high	100.00%	99.98%	OCL3	None	88.92%	98.23%
GCF_000584155.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000611425.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591595.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592555.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591975.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000671655.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592515.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592595.1	KL13	Good	99.94%	100.00%	OCL3	None	88.92%	98.24%
GCF_000581635.1	KL13	Good	98.93%	99.99%	OCL3	None	88.92%	98.23%
GCF_000581455.1	KL13	Very high	100.00%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_000681735.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000581335.1	KL13	None	93.60%	100.00%	OCL3	Good	96.50%	98.37%
GCF_000592155.1	KL13	Good	99.98%	99.99%	OCL3	None	88.83%	98.24%
GCF_000591775.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000611405.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000611445.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592395.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000611345.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592235.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000591635.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592095.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000584195.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600455.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000580295.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000681975.1	KL13	Good	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000580555.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592255.1	KL13	Good	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000681655.1	KL13	Good	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000591755.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000681695.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000681935.1	KL13	Good	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000580475.1	KL13	Very high	100.00%	100.00%	OCL3	Very high	100.00%	98.44%
GCF_003949365.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000681875.1	KL13	Good	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000584235.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592195.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000592635.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000580395.1	KL13	Good	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000592355.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000611265.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000592135.1	KL13	Good	99.52%	100.00%	OCL3	None	88.79%	98.24%
GCF_000592295.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000600395.1	KL13	None	99.05%	100.00%	OCL3	None	87.26%	98.21%
GCF_000611525.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000580215.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.83%	98.24%
GCF_000682135.1	KL13	Good	100.00%	99.96%	OCL3	None	88.92%	98.30%
GCF_000580895.1	KL13	None	96.80%	100.00%	OCL3	None	88.32%	98.23%
GCF_000584435.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.83%	98.24%
GCF_000584735.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000587935.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000581175.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.23%
GCF_000587975.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000588175.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000588295.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000581575.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000582945.1	KL13	Very high	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000583295.1	KL13	Good	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000681895.1	KL13	Good	100.00%	99.99%	OCL3	None	88.92%	98.24%
GCF_000580575.1	KL13	Good	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000587915.1	KL13	Very high	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000453585.1	KL13	Perfect	100.00%	100.00%	OCL3	None	88.92%	98.24%
GCF_000453765.1	KL9	Very high	100.00%	98.62%	OCL3	None	88.83%	98.24%
GCF_000584755.1	KL22	Good	100.00%	97.90%	OCL3	Good	100.00%	98.44%
GCF_000584835.1	KL22	Good	100.00%	97.90%	OCL3	Good	100.00%	98.44%
GCF_000809085.3	KL22	Good	99.77%	99.99%	OCL3	None	92.65%	98.10%
GCF_000581675.1	KL22	None	97.15%	99.99%	OCL3	None	88.37%	98.21%
GCF_010608885.1	KL22	Good	99.15%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001665055.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001666575.1	KL22	Very high	100.00%	100.00%	OCL3	Good	100.00%	98.44%
GCF_001673985.1	KL22	Very high	100.00%	99.99%	OCL3	Low	92.90%	98.31%
