assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	strain	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_012952675.1	PRJNA224116	SAMN14265976	JAATIB000000000.1	na	470	470	Acinetobacter baumannii	ACIN00156		latest	Contig	Major	Full	2020/05/02	ASM1295267v1	University of Pittsburgh School of Medicine	GCA_012952675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/952/675/GCF_012952675.1_ASM1295267v1			na
GCF_012955825.1	PRJNA224116	SAMN14595344	JABBYU000000000.1	na	470	470	Acinetobacter baumannii	4cASbagRosa		latest	Contig	Major	Full	2020/05/03	ASM1295582v1	University of Sao Paulo	GCA_012955825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/955/825/GCF_012955825.1_ASM1295582v1			na
GCF_012955845.1	PRJNA224116	SAMN14595345	JABBYV000000000.1	na	470	470	Acinetobacter baumannii	26MCbag		latest	Contig	Major	Full	2020/05/03	ASM1295584v1	University of Sao Paulo	GCA_012955845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/955/845/GCF_012955845.1_ASM1295584v1			na
GCF_012956585.1	PRJNA224116	SAMN14595343	JABBYT000000000.1	na	470	470	Acinetobacter baumannii	3aASbag		latest	Contig	Major	Full	2020/05/03	ASM1295658v1	University of Sao Paulo	GCA_012956585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/956/585/GCF_012956585.1_ASM1295658v1			na
GCF_012974585.1	PRJNA224116	SAMN14072279		na	470	470	Acinetobacter baumannii	ABF9692		latest	Complete Genome	Major	Full	2020/05/05	ASM1297458v1	South China Agricultural University	GCA_012974585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/585/GCF_012974585.1_ASM1297458v1			na
GCF_012974845.1	PRJNA224116	SAMN12057668		na	470	470	Acinetobacter baumannii	CUVET-MIC596		latest	Complete Genome	Major	Full	2020/05/05	ASM1297484v1	University of Bern	GCA_012974845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/845/GCF_012974845.1_ASM1297484v1			na
GCF_013138415.1	PRJNA224116	SAMN13160111	WJWS00000000.1	na	470	470	Acinetobacter baumannii	ACI42		latest	Scaffold	Major	Full	2020/05/21	ASM1313841v1	IFSC USP	GCA_013138415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/138/415/GCF_013138415.1_ASM1313841v1			na
GCF_013138435.1	PRJNA224116	SAMN13160208	WJWT00000000.1	na	470	470	Acinetobacter baumannii	ACI53		latest	Scaffold	Major	Full	2020/05/21	ASM1313843v1	IFSC USP	GCA_013138435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/138/435/GCF_013138435.1_ASM1313843v1			na
GCF_013138475.1	PRJNA224116	SAMN13157208	WJWR00000000.1	na	470	470	Acinetobacter baumannii	ACI40		latest	Scaffold	Major	Full	2020/05/21	ASM1313847v1	IFSC USP	GCA_013138475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/138/475/GCF_013138475.1_ASM1313847v1			na
GCF_013140255.1	PRJNA224116	SAMN14381340	JAAQOP000000000.1	na	470	470	Acinetobacter baumannii	S2/2		latest	Contig	Major	Full	2020/05/21	ASM1314025v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/255/GCF_013140255.1_ASM1314025v1			na
GCF_013140275.1	PRJNA224116	SAMN14381341	JAAQOQ000000000.1	na	470	470	Acinetobacter baumannii	S2/4		latest	Contig	Major	Full	2020/05/21	ASM1314027v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/275/GCF_013140275.1_ASM1314027v1			na
GCF_013140295.1	PRJNA224116	SAMN14381342	JAAQOR000000000.1	na	470	470	Acinetobacter baumannii	S2/10		latest	Contig	Major	Full	2020/05/21	ASM1314029v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/295/GCF_013140295.1_ASM1314029v1			na
GCF_013140305.1	PRJNA224116	SAMN14381701	JAAQOT000000000.1	na	470	470	Acinetobacter baumannii	EF31		latest	Contig	Major	Full	2020/05/21	ASM1314030v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/305/GCF_013140305.1_ASM1314030v1			na
GCF_013140315.1	PRJNA224116	SAMN14381460	JAAQOS000000000.1	na	470	470	Acinetobacter baumannii	EF7		latest	Contig	Major	Full	2020/05/21	ASM1314031v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/315/GCF_013140315.1_ASM1314031v1			na
GCF_013140355.1	PRJNA224116	SAMN14381702	JAAQOU000000000.1	na	470	470	Acinetobacter baumannii	EF32		latest	Contig	Major	Full	2020/05/21	ASM1314035v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/355/GCF_013140355.1_ASM1314035v1			na
GCF_013140365.1	PRJNA224116	SAMN14381864	JAAQOV000000000.1	na	470	470	Acinetobacter baumannii	S14		latest	Contig	Major	Full	2020/05/21	ASM1314036v1	Institute for Molecular Genetics and Genetic Engineering	GCA_013140365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/140/365/GCF_013140365.1_ASM1314036v1			na
GCF_013154985.1	PRJNA224116	SAMN14944010	JABJTQ000000000.1	na	470	470	Acinetobacter baumannii	GD0302		latest	Contig	Major	Full	2020/05/23	ASM1315498v1	Shenzhen University	GCA_013154985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/154/985/GCF_013154985.1_ASM1315498v1			na
GCF_013184005.1	PRJNA224116	SAMN11581142	VCCO00000000.1	na	470	470	Acinetobacter baumannii	A118F		latest	Contig	Major	Full	2020/05/28	ASM1318400v1	California State University Fullerton	GCA_013184005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/184/005/GCF_013184005.1_ASM1318400v1			na
GCF_013185115.1	PRJNA224116	SAMN14525747	JAAWWT000000000.1	na	470	470	Acinetobacter baumannii	Aba 24S		latest	Scaffold	Major	Full	2020/05/28	ASM1318511v1	University of Bucharest	GCA_013185115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/185/115/GCF_013185115.1_ASM1318511v1			na
GCF_013185135.1	PRJNA224116	SAMN14525746	JAAWWU000000000.1	na	470	470	Acinetobacter baumannii	Aba 18S		latest	Scaffold	Major	Full	2020/05/28	ASM1318513v1	University of Bucharest	GCA_013185135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/185/135/GCF_013185135.1_ASM1318513v1			na
GCF_013185155.1	PRJNA224116	SAMN14525745	JAAWWV000000000.1	na	470	470	Acinetobacter baumannii	Aba 10S		latest	Scaffold	Major	Full	2020/05/28	ASM1318515v1	University of Bucharest	GCA_013185155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/185/155/GCF_013185155.1_ASM1318515v1			na
GCF_013185245.1	PRJNA224116	SAMN14544692	JAAZUF000000000.1	na	470	470	Acinetobacter baumannii	C051		latest	Scaffold	Major	Full	2020/05/28	ASM1318524v1	Faculty of Public Health	GCA_013185245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/185/245/GCF_013185245.1_ASM1318524v1			na
GCF_013185265.1	PRJNA224116	SAMN14544693	JAAZUG000000000.1	na	470	470	Acinetobacter baumannii	C248		latest	Scaffold	Major	Full	2020/05/28	ASM1318526v1	Faculty of Public Health	GCA_013185265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/185/265/GCF_013185265.1_ASM1318526v1			na
GCF_013305465.1	PRJNA224116	SAMN14859482		na	470	470	Acinetobacter baumannii	MS14413		latest	Complete Genome	Major	Full	2020/06/09	ASM1330546v1	The University of Queensland	GCA_013305465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/305/465/GCF_013305465.1_ASM1330546v1			na
GCF_013344855.1	PRJNA224116	SAMN15105058	JABVBS000000000.1	na	470	470	Acinetobacter baumannii	KCJ3K928		latest	Scaffold	Major	Full	2020/06/15	ASM1334485v1	University of Florida	GCA_013344855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/344/855/GCF_013344855.1_ASM1334485v1			na
GCF_013346445.1	PRJNA224116	SAMN15105068	JABVBM000000000.1	na	470	470	Acinetobacter baumannii	KCJK8620		latest	Contig	Major	Full	2020/06/15	ASM1334644v1	University of Florida	GCA_013346445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/346/445/GCF_013346445.1_ASM1334644v1			na
GCF_013346455.1	PRJNA224116	SAMN15105067	JABVBL000000000.1	na	470	470	Acinetobacter baumannii	KCJK8630		latest	Contig	Major	Full	2020/06/15	ASM1334645v1	University of Florida	GCA_013346455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/346/455/GCF_013346455.1_ASM1334645v1			na
GCF_013346525.1	PRJNA224116	SAMN15105059	JABVBT000000000.1	na	470	470	Acinetobacter baumannii	KCJ3K903		latest	Contig	Major	Full	2020/06/15	ASM1334652v1	University of Florida	GCA_013346525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/346/525/GCF_013346525.1_ASM1334652v1			na
GCF_013346545.1	PRJNA224116	SAMN15105061	JABVBU000000000.1	na	470	470	Acinetobacter baumannii	KCJ3K469		latest	Contig	Major	Full	2020/06/15	ASM1334654v1	University of Florida	GCA_013346545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/346/545/GCF_013346545.1_ASM1334654v1			na
GCF_013346675.1	PRJNA224116	SAMN15105060	JABVBZ000000000.1	na	470	470	Acinetobacter baumannii	KCJ3K352		latest	Contig	Major	Full	2020/06/15	ASM1334667v1	University of Florida	GCA_013346675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/346/675/GCF_013346675.1_ASM1334667v1			na
GCF_013375255.1	PRJNA224116	SAMN15312465	JABXNT000000000.1	na	470	470	Acinetobacter baumannii	F27		latest	Contig	Major	Full	2020/06/28	ASM1337525v1	Chulabhorn Graduate Institute	GCA_013375255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/375/255/GCF_013375255.1_ASM1337525v1			na
GCF_013376855.2	PRJNA224116	SAMN15344688		na	470	470	Acinetobacter baumannii	TP1		latest	Complete Genome	Major	Full	2020/07/17	ASM1337685v2	Texas A&M University	GCA_013376855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/376/855/GCF_013376855.2_ASM1337685v2			na
GCF_013377175.1	PRJNA224116	SAMN13565236		na	470	470	Acinetobacter baumannii	A1429		latest	Complete Genome	Major	Full	2020/06/30	ASM1337717v1	Sir Run Run Shaw Hospital, College of medicine,Zhejiang University	GCA_013377175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/377/175/GCF_013377175.1_ASM1337717v1			na
GCF_013387305.1	PRJNA224116	SAMN15321177	JACAAF000000000.1	na	470	470	Acinetobacter baumannii	E10		latest	Scaffold	Major	Full	2020/07/02	ASM1338730v1	Peking University People's Hospital	GCA_013387305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/387/305/GCF_013387305.1_ASM1338730v1			na
GCF_013387385.1	PRJNA224116	SAMN15321176	JACAAG000000000.1	na	470	470	Acinetobacter baumannii	E9		latest	Scaffold	Major	Full	2020/07/02	ASM1338738v1	Peking University People's Hospital	GCA_013387385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/387/385/GCF_013387385.1_ASM1338738v1			na
GCF_013394265.1	PRJNA224116	SAMN12860376		na	470	470	Acinetobacter baumannii	31FS3-2		latest	Complete Genome	Major	Full	2020/07/08	ASM1339426v1	South China Agricultural University	GCA_013394265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/394/265/GCF_013394265.1_ASM1339426v1			na
GCF_013394285.1	PRJNA224116	SAMN12859885		na	470	470	Acinetobacter baumannii	29FS20		latest	Complete Genome	Major	Full	2020/07/08	ASM1339428v1	South China Agricultural University	GCA_013394285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/394/285/GCF_013394285.1_ASM1339428v1			na
GCF_013416255.1	PRJNA224116	SAMN14833494		na	470	470	Acinetobacter baumannii	DT0544C		latest	Complete Genome	Major	Full	2020/07/15	ASM1341625v1	University of Bergen	GCA_013416255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/416/255/GCF_013416255.1_ASM1341625v1			na
GCF_013416275.1	PRJNA224116	SAMN14833556		na	470	470	Acinetobacter baumannii	DT01139C		latest	Complete Genome	Major	Full	2020/07/15	ASM1341627v1	University of Bergen	GCA_013416275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/416/275/GCF_013416275.1_ASM1341627v1			na
GCF_013618675.1	PRJNA224116	SAMN11513663	JACATP000000000.1	na	470	470	Acinetobacter baumannii	ab10_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361867v1	Peking University People's Hospital	GCA_013618675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/675/GCF_013618675.1_ASM1361867v1			na
GCF_013618685.1	PRJNA224116	SAMN11513662	JACATQ000000000.1	na	470	470	Acinetobacter baumannii	ab9_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361868v1	Peking University People's Hospital	GCA_013618685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/685/GCF_013618685.1_ASM1361868v1			na
GCF_013618715.1	PRJNA224116	SAMN11513660	JACATS000000000.1	na	470	470	Acinetobacter baumannii	ab7_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361871v1	Peking University People's Hospital	GCA_013618715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/715/GCF_013618715.1_ASM1361871v1			na
GCF_013618725.1	PRJNA224116	SAMN11513661	JACATR000000000.1	na	470	470	Acinetobacter baumannii	ab8_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361872v1	Peking University People's Hospital	GCA_013618725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/725/GCF_013618725.1_ASM1361872v1			na
GCF_013618745.1	PRJNA224116	SAMN11513659	JACATT000000000.1	na	470	470	Acinetobacter baumannii	ab6_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361874v1	Peking University People's Hospital	GCA_013618745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/745/GCF_013618745.1_ASM1361874v1			na
GCF_013618775.1	PRJNA224116	SAMN11513658	JACATU000000000.1	na	470	470	Acinetobacter baumannii	ab5_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361877v1	Peking University People's Hospital	GCA_013618775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/775/GCF_013618775.1_ASM1361877v1			na
GCF_013618785.1	PRJNA224116	SAMN11513657	JACATV000000000.1	na	470	470	Acinetobacter baumannii	ab4_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361878v1	Peking University People's Hospital	GCA_013618785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/785/GCF_013618785.1_ASM1361878v1			na
GCF_013618815.1	PRJNA224116	SAMN11513655	JACATX000000000.1	na	470	470	Acinetobacter baumannii	ab2_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361881v1	Peking University People's Hospital	GCA_013618815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/815/GCF_013618815.1_ASM1361881v1			na
GCF_013618835.1	PRJNA224116	SAMN11513656	JACATW000000000.1	na	470	470	Acinetobacter baumannii	ab3_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361883v1	Peking University People's Hospital	GCA_013618835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/835/GCF_013618835.1_ASM1361883v1			na
GCF_013618855.1	PRJNA224116	SAMN11513654	JACATY000000000.1	na	470	470	Acinetobacter baumannii	ab1_HL		latest	Scaffold	Major	Full	2020/07/24	ASM1361885v1	Peking University People's Hospital	GCA_013618855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/618/855/GCF_013618855.1_ASM1361885v1			na
GCF_013778355.1	PRJNA224116	SAMN15596637	JACEIG000000000.1	na	470	470	Acinetobacter baumannii	A423		latest	Contig	Major	Full	2020/07/27	ASM1377835v1	Kasetsart University	GCA_013778355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/778/355/GCF_013778355.1_ASM1377835v1			na
GCF_013778405.1	PRJNA224116	SAMN15596638	JACEIF000000000.1	na	470	470	Acinetobacter baumannii	A466		latest	Contig	Major	Full	2020/07/27	ASM1377840v1	Kasetsart University	GCA_013778405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/778/405/GCF_013778405.1_ASM1377840v1			na
GCF_013778425.1	PRJNA224116	SAMN15596639	JACEIJ000000000.1	na	470	470	Acinetobacter baumannii	A522		latest	Contig	Major	Full	2020/07/27	ASM1377842v1	Kasetsart University	GCA_013778425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/778/425/GCF_013778425.1_ASM1377842v1			na
GCF_013778445.1	PRJNA224116	SAMN15596636	JACEIH000000000.1	na	470	470	Acinetobacter baumannii	A217		latest	Contig	Major	Full	2020/07/27	ASM1377844v1	Kasetsart University	GCA_013778445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/778/445/GCF_013778445.1_ASM1377844v1			na
GCF_013787185.1	PRJNA224116	SAMN15541804		na	470	470	Acinetobacter baumannii	36-1512		latest	Complete Genome	Major	Full	2020/07/28	ASM1378718v1	IBCH RAN	GCA_013787185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/787/185/GCF_013787185.1_ASM1378718v1			na
GCF_014116765.1	PRJNA224116	SAMN15644206	JACGXZ000000000.1	na	470	470	Acinetobacter baumannii	ATCC 19606_3M		latest	Scaffold	Major	Full	2020/08/08	ASM1411676v1	Shenzhen People's Hospital	GCA_014116765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/116/765/GCF_014116765.1_ASM1411676v1			na
GCF_014116785.1	PRJNA224116	SAMN15644207	JACGXY000000000.1	na	470	470	Acinetobacter baumannii	ATCC 19606_5M		latest	Scaffold	Major	Full	2020/08/08	ASM1411678v1	Shenzhen People's Hospital	GCA_014116785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/116/785/GCF_014116785.1_ASM1411678v1			na
GCF_014116795.1	PRJNA224116	SAMN15644205	JACGYA000000000.1	na	470	470	Acinetobacter baumannii	ATCC 19606		latest	Scaffold	Major	Full	2020/08/08	ASM1411679v1	Shenzhen People's Hospital	GCA_014116795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/116/795/GCF_014116795.1_ASM1411679v1		assembly from type material	na
GCF_014159355.1	PRJNA224116	SAMD00194470		na	470	470	Acinetobacter baumannii	WP4-W18-ESBL-11		latest	Complete Genome	Major	Full	2020/07/21	ASM1415935v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_014159355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/159/355/GCF_014159355.1_ASM1415935v1			na
GCF_014169655.1	PRJNA224116	SAMD00194616		na	470	470	Acinetobacter baumannii	WP8-W18-ESBL-11		latest	Complete Genome	Major	Full	2020/07/21	ASM1416965v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_014169655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/655/GCF_014169655.1_ASM1416965v1			na
GCF_014218985.1	PRJNA224116	SAMN15746320	JACLCQ000000000.1	na	470	470	Acinetobacter baumannii	AB1		latest	Contig	Major	Full	2020/08/17	ASM1421898v1	The Hong Kong Polytechnic University	GCA_014218985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/218/985/GCF_014218985.1_ASM1421898v1			na
GCF_014267385.1	PRJNA224116	SAMN15819058		na	470	470	Acinetobacter baumannii	XYAB2018		latest	Complete Genome	Major	Full	2020/08/23	ASM1426738v1	Xiangya Hospital	GCA_014267385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/267/385/GCF_014267385.1_ASM1426738v1			na
GCF_014322245.1	PRJNA224116	SAMN13884837		na	470	470	Acinetobacter baumannii	DETAB-P2		latest	Complete Genome	Major	Full	2020/08/27	ASM1432224v1	Zhejiang University	GCA_014322245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/322/245/GCF_014322245.1_ASM1432224v1			na
GCF_014323505.1	PRJNA224116	SAMN15897437	JACSHM000000000.1	na	470	470	Acinetobacter baumannii	INTEC_AI11		latest	Scaffold	Major	Full	2020/08/28	ASM1432350v1	INTEC-UFPA	GCA_014323505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/323/505/GCF_014323505.1_ASM1432350v1			na
GCF_014334855.1	PRJNA224116	SAMN07514509	NRIH00000000.1	na	470	470	Acinetobacter baumannii	Abau462		latest	Scaffold	Major	Full	2020/08/31	ASM1433485v1	Universite de Lome	GCA_014334855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/855/GCF_014334855.1_ASM1433485v1			na
GCF_014334865.1	PRJNA224116	SAMN07514514	NRID00000000.1	na	470	470	Acinetobacter baumannii	Abau446		latest	Scaffold	Major	Full	2020/08/31	ASM1433486v1	Universite de Lome	GCA_014334865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/865/GCF_014334865.1_ASM1433486v1			na
GCF_014334885.1	PRJNA224116	SAMN07514511	NRIF00000000.1	na	470	470	Acinetobacter baumannii	Abau441		latest	Scaffold	Major	Full	2020/08/31	ASM1433488v1	Universite de Lome	GCA_014334885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/885/GCF_014334885.1_ASM1433488v1			na
GCF_014334905.1	PRJNA224116	SAMN07514513	NRIE00000000.1	na	470	470	Acinetobacter baumannii	Abau851		latest	Scaffold	Major	Full	2020/08/31	ASM1433490v1	Universite de Lome	GCA_014334905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/905/GCF_014334905.1_ASM1433490v1			na
GCF_014334965.1	PRJNA224116	SAMN07514508	NRII00000000.1	na	470	470	Acinetobacter baumannii	Abau971		latest	Scaffold	Major	Full	2020/08/31	ASM1433496v1	Universite de Lome	GCA_014334965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/965/GCF_014334965.1_ASM1433496v1			na
GCF_014334975.1	PRJNA224116	SAMN07514507	NRIJ00000000.1	na	470	470	Acinetobacter baumannii	Abau218		latest	Contig	Major	Full	2020/08/31	ASM1433497v1	Universite de Lome	GCA_014334975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/975/GCF_014334975.1_ASM1433497v1			na
GCF_014530685.1	PRJNA224116	SAMN15915143	JACSSK000000000.1	na	470	470	Acinetobacter baumannii	A92		latest	Contig	Major	Full	2020/09/14	ASM1453068v1	University of East Anglia	GCA_014530685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/685/GCF_014530685.1_ASM1453068v1			na
GCF_014530695.1	PRJNA224116	SAMN15915140	JACSSN000000000.1	na	470	470	Acinetobacter baumannii	A87		latest	Contig	Major	Full	2020/09/14	ASM1453069v1	University of East Anglia	GCA_014530695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/695/GCF_014530695.1_ASM1453069v1			na
GCF_014530705.1	PRJNA224116	SAMN15915142	JACSSL000000000.1	na	470	470	Acinetobacter baumannii	A89		latest	Contig	Major	Full	2020/09/14	ASM1453070v1	University of East Anglia	GCA_014530705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/705/GCF_014530705.1_ASM1453070v1			na
GCF_014530735.1	PRJNA224116	SAMN15915144	JACSSJ000000000.1	na	470	470	Acinetobacter baumannii	A5910		latest	Contig	Major	Full	2020/09/14	ASM1453073v1	University of East Anglia	GCA_014530735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/735/GCF_014530735.1_ASM1453073v1			na
GCF_014530755.1	PRJNA224116	SAMN15915141	JACSSM000000000.1	na	470	470	Acinetobacter baumannii	A88		latest	Contig	Major	Full	2020/09/14	ASM1453075v1	University of East Anglia	GCA_014530755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/755/GCF_014530755.1_ASM1453075v1			na
GCF_014530785.1	PRJNA224116	SAMN15915138	JACSSO000000000.1	na	470	470	Acinetobacter baumannii	A85		latest	Contig	Major	Full	2020/09/14	ASM1453078v1	University of East Anglia	GCA_014530785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/785/GCF_014530785.1_ASM1453078v1			na
GCF_014530795.1	PRJNA224116	SAMN15915137	JACSSP000000000.1	na	470	470	Acinetobacter baumannii	A84		latest	Contig	Major	Full	2020/09/14	ASM1453079v1	University of East Anglia	GCA_014530795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/795/GCF_014530795.1_ASM1453079v1			na
GCF_014530805.1	PRJNA224116	SAMN15915135	JACSSQ000000000.1	na	470	470	Acinetobacter baumannii	A82		latest	Contig	Major	Full	2020/09/14	ASM1453080v1	University of East Anglia	GCA_014530805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/805/GCF_014530805.1_ASM1453080v1			na
GCF_014530815.1	PRJNA224116	SAMN15915133	JACSSS000000000.1	na	470	470	Acinetobacter baumannii	A75		latest	Contig	Major	Full	2020/09/14	ASM1453081v1	University of East Anglia	GCA_014530815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/815/GCF_014530815.1_ASM1453081v1			na
GCF_014530885.1	PRJNA224116	SAMN15915132	JACSST000000000.1	na	470	470	Acinetobacter baumannii	A74		latest	Contig	Major	Full	2020/09/14	ASM1453088v1	University of East Anglia	GCA_014530885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/530/885/GCF_014530885.1_ASM1453088v1			na
